category,count,pct
MASSAGER,3238,0.18503999103944702
STORAGE_HOOK,3229,0.18452567358442692
LABEL,3205,0.18315416037104004
BOOT,3165,0.18086830501539525
TOOLS,3153,0.1801825484087018
INPUT_MOUSE,3151,0.18006825564091955
ART_SUPPLIES,3119,0.1782395713564037
EARRING,3101,0.17721093644636354
CRACKER,3087,0.17641088707188787
PLANT_SEED,3035,0.1734392751095496
SHELF,3008,0.17189632274448938
COMPUTER_DRIVE_OR_STORAGE,3005,0.171724883592816
COAT,2945,0.16829610055934882
HVAC_AIR_FILTER,2934,0.1676674903365465
AREA_DEODORIZER,2926,0.16721031926541752
CLEANING_BRUSH,2902,0.16583880605203064
BACKPACK,2899,0.16566736690035727
POWER_STRIP,2846,0.16263860855412793
TOOTHBRUSH,2841,0.1623528766346723
PICTURE_FRAME,2825,0.16143853449241438
NAIL_POLISH,2823,0.16132424172463214
FLAVORED_DRINK_CONCENTRATE,2812,0.16069563150182983
COSTUME_OUTFIT,2724,0.15566674971941125
SLIPPER,2709,0.15480955396104445
BOARD_GAME,2700,0.15429523650602436
CANDLE,2694,0.15395235820267764
BODY_POSITIONER,2690,0.15372377266711318
PEST_CONTROL_DEVICE,2674,0.15280943052485527
LIP_BALM,2649,0.15138077092757724
PILLOW,2649,0.15138077092757724
PORTABLE_ELECTRONIC_DEVICE_MOUNT,2633,0.15046642878531932
HAIR_BRUSH,2629,0.15023784324975484
GREETING_CARD,2602,0.1486948908846946
ELECTRONIC_GIFT_CARD,2595,0.14829486619745677
WEIGH_SCALE,2561,0.14635188914515868
LIGHT_FIXTURE,2543,0.1453232542351185
PROTECTIVE_GLOVE,2475,0.14143730013052233
SUNSCREEN,2475,0.14143730013052233
FOOD_STORAGE_BAG,2468,0.1410372754432845
APPAREL,2454,0.1402372260688088
NON_RIDING_TOY_VEHICLE,2453,0.14018007968491772
HANDBAG,2445,0.13972290861378875
STORAGE_BAG,2438,0.1393228839265509
THERMOMETER,2430,0.13886571285542193
WALLET,2415,0.13800851709705514
DIGITAL_DEVICE_3,2410,0.13772278517759953
PAJAMAS,2387,0.13640841834810377
ESSENTIAL_OIL,2386,0.13635127196421265
PLANTER,2357,0.13469402683137016
ENVELOPE,2356,0.13463688044747904
SUNGLASSES,2339,0.13366539192133
RING,2336,0.13349395276965664
ELECTRIC_FAN,2323,0.1327510497790721
SPEAKERS,2322,0.13269390339518095
PAPER_TOWEL,2321,0.13263675701128985
SKIN_EXFOLIANT,2307,0.13183670763681415
PORTABLE_ELECTRONIC_DEVICE_STAND,2303,0.13160812210124967
MATTRESS_COVER,2299,0.1313795365656852
LEGUME,2292,0.13097951187844734
KEYBOARDS,2285,0.13057948719120951
EYELID_COLOR,2216,0.12663638670272223
PLANNER,2198,0.12560775179268205
CHAIR,2195,0.12543631264100868
OUTDOOR_RECREATION_PRODUCT,2189,0.12509343433766199
UTILITY_SPONGE,2187,0.12497914156987973
SKIN_FOUNDATION_CONCEALER,2157,0.12326475005314615
MOUTHWASH,2150,0.1228647253659083
JERKY,2149,0.12280757898201719
WOUND_DRESSING,2137,0.12212182237532374
DISHWASHER_DETERGENT,2136,0.1220646759914326
EDIBLE_OIL_VEGETABLE,2127,0.12155035853641254
DAIRY_BASED_DRINK,2127,0.12155035853641254
MANUAL_SHAVING_RAZOR,2124,0.12137891938473917
GIFT_WRAP,2073,0.11846445380629204
FISH,2040,0.11657862313788508
PIERCING_JEWELRY,2037,0.11640718398621172
CARRIER_BAG_CASE,2003,0.11446420693391364
BRACELET,2000,0.11429276778224028
BANNER,2000,0.11429276778224028
STORAGE_RACK,1994,0.11394988947889355
PROTEIN_DRINK,1976,0.1129212545688534
RECREATION_BALL,1963,0.11217835157826883
REMOTE_CONTROL,1953,0.11160688773935762
SANITARY_NAPKIN,1942,0.1109782775165553
PET_PEST_CONTROL,1937,0.1106925455970997
SEASONING,1936,0.1106353992132086
PROFESSIONAL_HEALTHCARE,1922,0.1098353498387329
SCISSORS,1912,0.10926388599982172
CONSUMER_ELECTRONICS,1906,0.10892100769647499
HARDWARE_HANDLE,1906,0.10892100769647499
WIG,1905,0.10886386131258385
APPAREL_BELT,1898,0.10846383662534602
DAIRY_BASED_YOGURT,1895,0.10829239747367267
HARDWARE_TUBING,1869,0.10680659149250354
PET_FEEDER,1867,0.10669229872472129
HANGING_ORNAMENT,1859,0.10623512765359233
PESTICIDE,1848,0.10560651743079001
HAIR_CLIP,1844,0.10537793189522554
SKIN_SERUM,1843,0.1053207855113344
BAKING_PAN,1842,0.1052636391274433
STORAGE_BOX,1839,0.10509219997576993
VACUUM_CLEANER,1830,0.10457788252074984
ANIMAL_COLLAR,1814,0.10366354037849193
PERSONAL_FRAGRANCE,1813,0.1036063939946008
SHOE_INSERT,1802,0.10297778377179848
SUGAR_SUBSTITUTE,1799,0.10280634462012514
COFFEE_MAKER,1795,0.10257775908456064
SURFACE_CLEANING_WIPE,1788,0.1021777343973228
VIDEO_GAME_CONTROLLER,1788,0.1021777343973228
CHEWING_GUM,1785,0.10200629524564946
SYRUP,1783,0.10189200247786721
SKIRT,1781,0.10177770971008496
BATHWATER_ADDITIVE,1760,0.10057763564837144
WIRELESS_ACCESSORY,1742,0.09954900073833128
BODY_LUBRICANT,1741,0.09949185435444016
PET_ACTIVITY_STRUCTURE,1712,0.09783460922159767
HAIR_TIE,1711,0.09777746283770655
LIP_COLOR,1702,0.09726314538268648
MASCARA,1696,0.09692026707933976
LEOTARD,1695,0.09686312069544864
AUTO_PART,1688,0.09646309600821079
PHYSICAL_TV_SERIES,1680,0.09600592493708184
PET_BED_MAT,1661,0.09492014364315055
DISHWARE_PLATE,1648,0.09417724065256598
TUNIC,1638,0.09360577681365478
DIGITAL_DEVICE_4,1630,0.09314860574252583
FERTILIZER,1625,0.09286287382307024
DENTAL_FLOSS,1616,0.09234855636805014
PILLOWCASE,1615,0.09229140998415902
MEAL_HOLDER,1607,0.09183423891303007
MOUSE_PAD,1597,0.09126277507411885
NUT_BUTTER,1592,0.09097704315466326
INSTRUMENT_PARTS_AND_ACCESSORIES,1592,0.09097704315466326
MILK_SUBSTITUTE,1586,0.09063416485131653
DISHWARE_BOWL,1579,0.0902341401640787
ARTIFICIAL_PLANT,1566,0.08949123717349414
PRINT_COPY_PAPER,1565,0.08943409078960302
HARDWARE,1562,0.08926265163792965
LOCK,1556,0.08891977333458294
SEXUAL_STIMULATION_DEVICE,1553,0.08874833418290957
DAIRY_BASED_ICE_CREAM,1549,0.08851974864734509
POWER_CORD,1545,0.08829116311178062
CALENDAR,1543,0.08817687034399836
CLOTHES_HANGER,1543,0.08817687034399836
BAKING_MIX,1538,0.08789113842454277
COSMETIC_BRUSH,1529,0.08737682096952269
ART_MEDIA_PAPER,1517,0.08669106436282925
HAIR_CLEANER_CONDITIONER,1503,0.08589101498835357
CONDIMENT,1501,0.08577672222057132
POWER_BANK,1492,0.08526240476555125
BUILDING_MATERIAL,1491,0.08520525838166013
FLAT_SCREEN_DISPLAY_MOUNT,1490,0.085148111997769
NETWORK_INTERFACE_CONTROLLER_ADAPTER,1490,0.085148111997769
ELECTRONIC_SWITCH,1490,0.085148111997769
COSMETIC_CASE,1485,0.08486238007831341
THERMOS,1485,0.08486238007831341
RESPIRATOR,1484,0.08480523369442228
TRASH_CAN,1472,0.08411947708772884
ASTRINGENT_SUBSTANCE,1467,0.08383374516827324
KEYCHAIN,1461,0.08349086686492652
ANIMAL_HARNESS,1458,0.08331942771325317
JEWELRY_STORAGE,1457,0.08326228132936203
THERMOPLASTIC_FILAMENT,1449,0.08280511025823308
PLUMBING_FIXTURE,1444,0.08251937833877748
PET_APPAREL,1444,0.08251937833877748
MEAL_REPLACEMENT_BEVERAGE,1443,0.08246223195488636
HAIRBAND,1440,0.082290792803213
ELECTRONIC_COMPONENT_FAN,1440,0.082290792803213
FABRIC_SOFTENER,1425,0.08143359704484619
APPAREL_HEAD_NECK_COVERING,1418,0.08103357235760836
TIGHTS,1414,0.08080498682204387
HANGING_ROD,1413,0.08074784043815275
KITCHEN_KNIFE,1389,0.07937632722476587
DRINKING_STRAW,1386,0.0792048880730925
SNACK_MIX,1382,0.07897630253752803
POPCORN,1381,0.07891915615363691
DECORATIVE_PILLOW_COVER,1379,0.07880486338585467
YARN,1371,0.0783476923147257
MEDICAL_TEST_STRIP,1361,0.07777622847581452
TABLE,1360,0.07771908209192338
RAZOR_BLADE_CARTRIDGE,1356,0.0774904965563589
SAUTE_FRY_PAN,1355,0.07743335017246779
INPUT_PEN,1352,0.07726191102079442
FLASH_DRIVE,1352,0.07726191102079442
ELECTRIC_SHAVER,1326,0.0757761050396253
BALLOON,1319,0.07537608035238746
HAIR_TRIMMER,1317,0.07526178758460522
MICROPHONE,1310,0.07486176289736739
SPORT_ACTIVITY_GLOVE,1293,0.07389027437121834
TOY_FIGURE_PLAYSET,1288,0.07360454245176273
VIDEO_GAME_ACCESSORIES,1269,0.07251876115783146
COFFEE_FILTER,1258,0.07189015093502914
WRITING_BOARD,1256,0.0717758581672469
TOOTHBRUSH_HEAD,1254,0.07166156539946465
FALSE_NAIL,1254,0.07166156539946465
NIGHTGOWN_NIGHTSHIRT,1249,0.07137583348000906
FLOUR,1247,0.0712615407122268
HOME_BED_AND_BATH,1247,0.0712615407122268
CEREAL,1245,0.07114724794444457
WEARABLE_COMPUTER,1245,0.07114724794444457
MONITOR,1228,0.07017575941829554
WATCH,1224,0.06994717388273104
AMAZON_TABLET,1214,0.06937571004381984
SAFETY_GLASSES,1213,0.06931856365992874
LINT_REMOVER,1212,0.0692614172760376
PERSONAL_PILL_DISPENSER,1210,0.06914712450825537
DECORATIVE_SIGNAGE,1201,0.0686328070532353
ANIMAL_WATER_DISPENSER,1199,0.06851851428545304
FURNITURE_COVER,1184,0.06766131852708623
DAIRY_BASED_CREAM,1184,0.06766131852708623
CAKE,1184,0.06766131852708623
MATTRESS,1182,0.067547025759304
HAIR_COMB,1178,0.06731844022373952
SPRAY_BOTTLE,1176,0.06720414745595728
MAJOR_HOME_APPLIANCES,1176,0.06720414745595728
FLASHLIGHT,1175,0.06714700107206616
CLOCK,1175,0.06714700107206616
PASTRY,1164,0.06651839084926384
CARD_DOCUMENT_SLEEVE,1159,0.06623265892980824
SECURITY_CAMERA,1151,0.06577548785867929
CRAFT_BEAD,1149,0.06566119509089703
CELLULAR_PHONE,1146,0.06548975593922367
PRETZEL,1139,0.06508973125198585
EXERCISE_BAND,1136,0.06491829210031248
FIDGET_TOY,1135,0.06486114571642136
HOME_LIGHTING_ACCESSORY,1129,0.06451826741307463
APPAREL_GLOVES,1127,0.0644039746452924
EARPLUG,1125,0.06428968187751015
MEASURING_CUP,1122,0.06411824272583679
CAMCORDER,1121,0.06406109634194568
MULTIPORT_HUB,1121,0.06406109634194568
FACIAL_TISSUE,1113,0.06360392527081671
MECHANICAL_LIGHTER,1112,0.0635467788869256
INSECT_REPELLENT,1107,0.06326104696747
CUTTING_BOARD,1104,0.06308960781579663
HOME_MIRROR,1104,0.06308960781579663
CONTAINER_LID,1101,0.06291816866412327
FILE_FOLDER,1100,0.06286102228023216
BED_FRAME,1098,0.06274672951244992
DESK,1095,0.06257529036077655
LITTER_BOX,1088,0.06217526567353872
KNIFE,1078,0.061603801834627506
SLEEP_MASK,1075,0.06143236268295415
VALVE,1075,0.06143236268295415
VDO_DEVICES,1074,0.06137521629906303
PUFFED_SNACK,1074,0.06137521629906303
DRYING_RACK,1071,0.061203777147389664
